"TEST_NAME","IQR_test","min_comp","max_comp","median","mean","SD","IQR_2.5","IQR_25","IQR_75","IQR_97.5","IQR_99","Range_comp"
"ALKALINE PHOSPHATASE",30.256,1,397,11.4,15.8823032629559,17.114,1.7,6.3,19.1,62.8300000000002,79.196,396
"Alkalinity",209.94,5,468,111,112.078420619687,75.001,9,37,169,253,279,463
"CA",71.702,2.8,124.3,45.2,42.1448478376935,24.274,4.7,19,61,83.3,88.782,121.5
"CAROTENOIDS",13.078,1,76,3.4,6.17033898305085,8.649,1,2.075,6.675,26.7375,29.856,75
"CHLOROPHYLL-A",37,1,78,9,15.5762711864407,15.155,2,6,20,59.675,72.15,77
"CHLOROPHYLL-A(LC)",24.446,0.699,87.2,7.825,11.3387716535433,10.686,1.33,3.9525,15,39.9525,51.676,86.501
"CHLOROPHYLL-A, CORRECTED",31,1,68,8,12.9915254237288,12.455,1,5,16.75,38.3500000000001,60.81,67
"CHLOROPHYLL-B",1,1,6,1,1.09322033898305,0.523,1,1,1,2,2.83,5
"CHLOROPHYLL-B(LC)",2.8492,0.071,22.9,0.793,1.43739452054795,2.304,0.0987,0.471,1.33,8.92999999999998,13.2,22.829
"CHLOROPHYLL-C",1,1,3,1,1.09322033898305,0.392,1,1,1,3,3,2
"CL",141,5.4,596,61,71.9802006584104,51.335,11.6,26.45,109,178,196,590.6
"COLOR",111,20,529,64,75.1633095754571,49.456,31,48,88,198.7,326.439999999999,509
"DEPTH, TOTAL",0.72,0,3.4,0.31,0.381445492267069,0.295,0.04,0.18,0.5,1.13,1.4,3.4
"DISSOLVED OXYGEN",6.36,0.08,12.3,3.25,3.62135249582959,2.062,0.62,2.05,4.91,8.442,9.4608,12.22
"DOC",29.3,7.9,72.1,19.7,20.6904037061549,6.961,10.7,15.525,24.6,36.8,39.9,64.2
"Hardness",285.3,10.8,510.2,156.3,157.043726641751,97.203,17.545,65.55,232.2,339.1,360.146,499.4
"IRON, DISSOLVED",241.8,3,778,105,128.866180048662,106.183,5.25,53,168,436.5,533.9,775
"K",8.3,0.1,18.7,4.7,4.54270907791279,2.918,0.4,1.7,7,9.6,10.5,18.6
"MG",27,0.7,48.5,10.2,12.5793913507742,9.737,1.3,3.95,19.6,33.8,36.2,47.8
"NA",93.3,3.2,380.9,39.2,47.0873820964584,33.964,7.5,17.1,71.6,117.565,129.428,377.7
"NH4",0.042,0.005,0.606,0.016,0.0249272471910112,0.033,0.005,0.011,0.025,0.10705,0.18141,0.601
"NITRATE-N",0.009,0.005,1.411,0.005,0.0117502828054299,0.045,0.005,0.005,0.005,0.074,0.14395,1.406
"NITROGEN, TOTAL DISSOLVED",1.6,0.418,3.48,1.05,1.11966559485531,0.366,0.579,0.851,1.35,1.96,2.1246,3.062
"NO BOTTLE SAMPLE",0,0,0,0,0,0,0,0,0,0,0,0
"NO2",0.004,0.002,0.111,0.002,0.00307666941467436,0.004,0.002,0.002,0.003,0.00904999999999973,0.014,0.109
"NOX",0.025,0.005,2.512,0.005,0.0218626484018265,0.1,0.005,0.005,0.007,0.127,0.378300000000001,2.507
"OPO4",0.003,0.002,0.869,0.002,0.0068515625,0.033,0.002,0.002,0.002,0.053,0.113250000000001,0.867
"PH, FIELD",7.6,4.8,9.1,7.2,7.10269206349206,0.48,6.1,6.8,7.4,7.8,8.1,4.3
"PHEOPHYTIN",6,1,33,2,3.66949152542373,4.862,1,1,4,18.075,21.49,32
"PHEOPHYTIN-A(LC)",1.6846,0.064,6.76,0.55,0.816527559055118,0.851,0.11535,0.29175,0.98675,3.14125,4.4885,6.696
"SECCHI DISK DEPTH",1.0103,0.1,1.95,0.6,0.642622950819672,0.297,0.2,0.4,0.8,1.3,1.4,1.85
"SIO2",16.1,0.05,42.7,7.56,8.71033355350066,5.618,0.90675,4.4075,12.3,21.7,24,42.65
"SO4",53,0.1,126,9.1,20.1245358320319,22.534,0.1,0.2,38.25,68,75.476,125.9
"SP CONDUCTIVITY, FIELD",999.540000000001,47.5,2132,507,541.891318204997,342.121,87,222,808,1205.925,1281.14,2084.5
"TDN",1.79,0.46,3.35,1.16,1.24250478011472,0.421,0.64,0.93,1.49,2.22,2.5309,2.89
"TDPO4",0.013,0.002,0.901,0.004,0.0111091799265606,0.038,0.002,0.003,0.008,0.0789000000000001,0.14332,0.899
"TDSFE",146,3,1027,29,65.030737704918,103.955,3,8,77,388,579.5,1024
"TEMP",28.8,5.53,40.5,24.3,23.6711694209663,4.61,13.4,20.7,27.4,30.1,30.9,34.97
"TN",2.01,0.5,4.16,1.37,1.42185494223363,0.464,0.7,1.07,1.73,2.35,2.6985,3.66
"TOC",29.758,8.6,73,19.9,21.008311094167,7.07,10.955,15.7,25.2,37.2,40.3,64.4
"TOTAL DISSOLVED SOLIDS",534.72,22,1687,250,280.403687720675,193.316,48,104,416,678.599999999999,749.52,1665
"TOTAL NITROGEN",1.85,0.473,3.79,1.28,1.31508982511924,0.412,0.637,0.997,1.6,2.16,2.33,3.317
"TOTAL SUSPENDED SOLIDS",6,3,67,3,4.61236263736264,3.045,3,3,6,9,15,64
"TPO4",0.025,0.002,2.681,0.008,0.0158947928765002,0.047,0.003,0.006,0.015,0.07,0.132,2.679
"TURBIDITY",2.3,0.2,45.6,0.7,1.24147780192487,1.979,0.4,0.5,1,5.55,9.80000000000009,45.4
"VOLATILE SUSPENDED SOLIDS",7,3,60,3,4.40614886731392,4.088,3,3,4,15,19,57
