"TEST_NAME","Pearson Correlation 8-hour","Pearson Correlation 24-hour","8-Hour Bias","8-Hour Accuracy","24-Hour Bias","24-Hour Accuracy","8-Hour Mean Percent Error","8-Hour RSD","24-Hour Mean Percent Error","24-Hour RSD","8-Hour Wilcox Ranked Sign","8-Hour T-test","24-Hour Wilcox Ranked Sign","24-Hour T-test","8-hour effect size","24-hour effect size","8-Hour r squared","24-Hour r squared","8-Hour LOA Lower","8-Hour LOA Upper","24-Hour LOA Lower","24-Hour LOA Upper","SE 8-Hour Bias","SE 24-Hour Bias"
"CA",0.9969,0.9932,0.0361,0.998,0.0083,1.001,1.468,1.23,2.2746,1.71,0.626,0.8607,0.8313,0.9768,0.0024,6e-04,0.9938,0.9864,-2.3663,2.4385,-3.3413,3.358,0.2043,0.2848
"CL",0.9968,0.9959,-0.0056,1.004,-0.3389,1.012,2.1796,1.99,2.8297,2.41,0.8249,0.9915,0.1912,0.5943,1e-04,0.0092,0.9936,0.9917,-6.1192,6.1081,-7.7536,7.0758,0.5199,0.6305
"COLOR",0.9938,0.9926,-0.5278,1.007,-0.25,1.004,1.1868,1.15,1.3324,1.19,0.0148,0.0144,0.2536,0.2467,0.0491,0.0239,0.9877,0.9852,-2.939,1.8834,-2.7451,2.2451,0.205,0.2122
"DOC",0.9846,0.9931,-0.1083,1.003,-0.1972,1.008,1.8869,2.19,1.7704,1.42,0.8791,0.481,0.0385,0.0535,0.0209,0.0408,0.9694,0.9863,-1.897,1.6804,-1.3575,0.9631,0.1521,0.0987
"K",0.9971,0.9938,-0.0083,1.001,-0.0361,1.006,1.1841,1.06,1.7462,1.58,0.9782,0.6918,0.2238,0.2543,0.0051,0.0227,0.9942,0.9876,-0.2535,0.2369,-0.4026,0.3304,0.0208,0.0312
"MG",0.9991,0.9981,0.0139,0.998,0.0306,1.001,1.3028,0.99,1.7255,1.45,0.5379,0.8019,0.8004,0.7078,0.0018,0.004,0.9982,0.9962,-0.6321,0.6599,-0.92,0.9812,0.0549,0.0808
"NH4",0.9995,0.9996,0.0017,0.991,0.0035,0.958,11.9784,4.38,12.8331,3.75,0.3783,0.3555,0.0354,0.0322,0.0053,0.0107,0.9991,0.9993,-0.0198,0.0233,-0.0141,0.0211,0.0018,0.0015
"NO2",0.7073,0.7584,1e-04,1.02,1e-04,1.02,13.468,22.22,13.468,18.57,0.7551,0.7567,0.6364,0.4575,0.0385,0.0934,0.5002,0.5751,-0.0021,0.0022,-0.0018,0.0021,2e-04,2e-04
"NOX",0.9995,0.9994,2e-04,1.031,-6e-04,1.024,4.1645,4.9,3.6459,3.91,0.7258,0.7061,0.1955,0.1852,0.003,0.0083,0.999,0.9987,-0.0059,0.0063,-0.0045,0.0034,5e-04,3e-04
"OPO4",1,0.9999,-1e-04,1.009,-1e-04,1.007,1.2905,1.41,0.6625,1.77,0.2031,0.1834,0.3711,0.1602,0.0022,0.0029,0.9999,0.9999,-9e-04,7e-04,-1e-04,-1e-04,1e-04,0
"SIO2",0.9993,0.9992,0.0264,0.998,0.0469,0.995,0.7073,0.58,0.785,0.65,0.1505,0.1459,0.0117,0.0237,0.0095,0.0168,0.9985,0.9983,-0.1824,0.2351,-0.1863,0.2802,0.0177,0.0198
"SO4",0.998,0.9945,-0.0861,1.008,-0.3083,1.019,1.8181,1.8,3.4759,3,0.2207,0.5632,0.4535,0.2185,0.0064,0.0234,0.9961,0.9891,-1.8211,1.6489,-3.2013,2.5846,0.1475,0.246
"TDN",0.9968,0.993,8e-04,0.999,-0.0222,1.013,1.2384,1.06,1.9767,1.55,0.7163,0.8623,0.0029,0.0031,0.0023,0.0624,0.9936,0.9861,-0.0552,0.0569,-0.1045,0.0601,0.0048,0.007
"TDPO4",0.9998,0.9998,-7e-04,1.056,-8e-04,1.018,6.3379,2.67,5.3016,4.04,0.001,4e-04,0.0059,0.006,0.0158,0.0174,0.9995,0.9996,-0.0026,0.0013,-0.0047,0.0032,2e-04,3e-04
"TDSAL",0.2385,0.2034,2e-04,0.996,3e-04,0.981,5.2225,15.24,4.8618,15.35,0.7596,0.5543,0.4974,0.3137,0.1848,0.3529,0.0569,0.0414,-0.0037,0.0041,-0.0036,0.0043,3e-04,3e-04
"TDSFE",0.6101,0.7628,-5e-04,1.171,2e-04,0.998,19.8551,30.63,10.3177,22.25,0.0392,0.1384,0.6908,0.468,0.2111,0.0912,0.3723,0.5818,-0.0044,0.0034,-0.0018,0.0021,3e-04,2e-04
"TN",0.9959,0.9982,0.0158,0.992,-0.0094,1.006,1.8049,1.54,1.2445,1.01,0.0568,0.0492,0.136,0.0734,0.0312,0.0185,0.9917,0.9964,-0.0755,0.1072,-0.0702,0.0513,0.0078,0.0052
"TOC",0.9912,0.9911,-0.1972,1.006,-0.075,1.003,1.5402,1.68,1.9942,1.58,0.5239,0.1049,0.6463,0.5064,0.0377,0.015,0.9825,0.9822,-1.5906,1.1961,-1.3882,1.2382,0.1185,0.1117
"TPO4",0.9991,0.9998,0,1.006,3e-04,0.989,3.1855,3.6,4.0455,1.67,0.7158,0.9509,0.151,0.1163,5e-04,0.0055,0.9981,0.9996,-0.0053,0.0053,-0.0016,0.0023,5e-04,2e-04
NA,0.9991,0.998,0.0167,0.999,-0.0472,1.003,1.3556,1.17,2.0962,1.7,0.9455,0.9345,0.857,0.8731,6e-04,0.0017,0.9981,0.996,-2.35,2.3834,-3.4968,3.4024,0.2013,0.2933
